Name	Eads	Site_Type	Ag	Au	Cu	Ir	Pd	Pt	Rh	Ru	AWF	AEL	AELA	TotEl	AValEl	Avg_Mass	Avg_Adsorption_111	Avg_Adsorption_100	Avg_Charge	ADBND	ACN	CN1	CN2	CN3	CN4
4_35_61	-2.37714	2	0	0	0	1	0	0	1	0	5.325	2.24	1.35	18	9	147.565	-1.15	-1.35	0.084239	-3.076785	7.5	7	8	0	0
4_43_61	-2.04649	2	0	0	0	0	1	0	1	0	5.1	2.24	0.85	19	9.5	104.665	-1	-1.2	0.065354	-2.733457	7	7	7	0	0
56_65_66	-2.39297	3	0	0	0	0	0	1	2	0	5.297	2.28	1.47	28	9.333	133.633	-1.067	-1.267	0.014203	-2.897239	8.667	9	9	8	0
57_58_68	-2.32259	2	0	0	0	0	0	1	1	0	5.455	2.28	1.635	19	9.5	148.995	-1.05	-1.25	0.144357	-2.712021	6.5	6	7	0	0
58_64_67	-2.14597	3	0	0	0	0	0	1	2	0	5.297	2.28	1.47	28	9.333	133.633	-1.067	-1.267	0.087665	-3.182815	7.667	8	6	9	0
58_67_68	-2.64002	2	0	0	0	0	0	0	2	0	4.98	2.28	1.14	18	9	102.91	-1.1	-1.3	0.006075	-2.715778	6	6	6	0	0
5_15_38_73	-2.05778	2	0	0	0	0	1	0	0	1	4.965	2.2	0.805	18	9	103.745	-1.1	-1.3	-0.07023	-3.009868	7.5	10	5	0	0
5_15_54	-2.14711	1	0	0	0	0	0	1	0	0	5.93	2.28	2.13	10	10	195.08	-1	-1.2	0.241838	-3.042494	5	5	0	0	0
5_15_73	-2.09184	2	0	1	0	0	0	0	0	1	4.905	2.37	1.68	9	4.5	149.02	-0.85	-1	0.028322	-3.556571	6.5	4	9	0	0
5_16_46	-1.74637	1	0	0	0	0	1	0	0	0	5.22	2.2	0.56	10	10	106.42	-0.9	-1.1	0.028486	-2.568925	6	6	0	0	0
5_16_54	-2.22896	1	0	0	0	0	0	1	0	0	5.93	2.28	2.13	10	10	195.08	-1	-1.2	0.241838	-3.042494	5	5	0	0	0
5_38_46	-2.73095	1	0	0	0	1	0	0	0	0	5.67	2.2	1.56	9	9	192.22	-1.2	-1.4	0.132253	-3.55091	9	9	0	0	0
6_19_36_37	-2.6907	1	0	0	0	1	0	0	0	0	5.67	2.2	1.56	9	9	192.22	-1.2	-1.4	0.110366	-3.576731	8	8	0	0	0
6_19_37	-2.30325	3	0	0	0	2	1	0	0	0	5.52	2.2	1.227	28	9.333	163.62	-1.1	-1.3	0.049424	-3.178285	7.333	6	7	9	0
6_19_64	-2.47903	1	0	0	0	0	0	0	1	0	4.98	2.28	1.14	9	9	102.91	-1.1	-1.3	0.014058	-2.82181	6	6	0	0	0
6_35_61	-2.35845	2	0	0	0	1	0	0	1	0	5.325	2.24	1.35	18	9	147.565	-1.15	-1.35	0.084239	-3.076785	7.5	7	8	0	0
6_35_67	-2.67716	2	0	0	0	1	0	0	1	0	5.325	2.24	1.35	18	9	147.565	-1.15	-1.35	0.085511	-3.017755	7	6	8	0	0
6_36_37	-2.73006	1	0	0	0	1	0	0	0	0	5.67	2.2	1.56	9	9	192.22	-1.2	-1.4	0.110366	-3.576731	8	8	0	0	0
6_36_61	-2.39469	2	0	0	0	1	0	0	1	0	5.325	2.24	1.35	18	9	147.565	-1.15	-1.35	0.06094	-3.258301	7.5	8	7	0	0
6_64_67	-2.31763	2	0	0	0	0	0	0	2	0	4.98	2.28	1.14	18	9	102.91	-1.1	-1.3	0.012429	-2.97217	7	8	6	0	0
